score,id_hex,id_dec,floor,kind,n_levels,levels,n_cohorts,cohort_ids,n_clusters,cluster_ids,visual_role,visual_name_guess,attack_hint,reasons
30.0,0x40b48011,1085571089,9,sprite,1,MENU,0,,2,K0032;K0164,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x40c22c10,1086467088,9,sprite,1,SCIE,0,,6,K0003;K0151;K0166;K0285;K0294;K0304,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x48017101,1208054017,9,audio,1,WIZZ,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x4860c074,1214300276,9,audio,1,RUNN,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x88a16190,2292277648,9,sprite,1,SEVN,1,C0308,1,K0088,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x90c24401,2428650497,9,audio,1,SEVN,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x9cc87050,2630381648,9,audio,1,SCIE,0,,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x02098010,34177040,10,sprite,1,TMPL,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x04dce858,81586264,10,audio,1,CLOU,0,,3,K0100;K0189;K0198,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x10f0e983,284223875,10,audio,1,TMPL,0,,1,K0085,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x2470e0f2,611377394,10,audio,1,CLOU,0,,3,K0099;K0187;K0197,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x2524e089,623173769,10,sprite,1,EGGS,1,C0228,1,K0206,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x2e809804,780179460,10,sprite,1,KLOG,1,C0251,1,K0029,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x30004240,805323328,10,audio,1,BRG1,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x39900619,965740057,10,sprite,1,MENU,6,C0257;C0260;C0263;C0267;C0272;C0276,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x40106054,1074815060,10,sprite,1,MEGA,1,C0112,1,K0126,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x40815801,1082218497,10,audio,1,WIZZ,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x4c106054,1276141652,10,sprite,1,MEGA,1,C0111,3,K0126;K0211;K0271,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x6ae1a244,1793172036,10,audio,1,FINN,1,C0231,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x80a0c240,2158019136,10,audio,1,SNOW,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0x888da193,2290983315,10,sprite,1,KLOG,1,C0130,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0xa0824440,2692891712,10,audio,1,FOOD,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0xa628e009,2787696649,10,sprite,1,EGGS,1,C0228,1,K0202,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0xa8482860,2823301216,10,sprite,1,MEGA,1,C0109,2,K0211;K0213,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
30.0,0xe289c059,3800678489,10,sprite,1,MENU,1,C0284,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | single-level (vocab constrained)
28.0,0x2a6e0410,711853072,11,sprite,1,EGGS,0,,9,K0001;K0006;K0013;K0062;K0074;K0075;K0123;K0305;K0312,,,exhaustive-floor+2,floor 11 (medium) | cluster has 6 visual labels | single-level (vocab constrained)
28.0,0x4a4ec094,1246675092,11,sprite,1,GLEN,0,,11,K0001;K0006;K0060;K0062;K0067;K0130;K0307;K0312;K0318;K0323;K0334,,,exhaustive-floor+2,floor 11 (medium) | cluster has 3 visual labels | single-level (vocab constrained)
28.0,0x7a0ec210,2047787536,11,sprite,1,EGGS,0,,9,K0001;K0008;K0025;K0064;K0073;K0077;K0135;K0314;K0318,,,exhaustive-floor+2,floor 11 (medium) | cluster has 6 visual labels | single-level (vocab constrained)
28.0,0x492c8430,1227654192,13,sprite,1,WIZZ,0,,7,K0001;K0008;K0034;K0060;K0064;K0171;K0305,,,dictionary,floor 13 (medium) | cluster has 3 visual labels | single-level (vocab constrained)
28.0,0x4a1ea052,1243521106,13,sprite,1,GLEN,0,,8,K0001;K0008;K0013;K0064;K0308;K0314;K0317;K0322,,,dictionary,floor 13 (medium) | cluster has 4 visual labels | single-level (vocab constrained)
28.0,0x4c2a8850,1277855824,13,sprite,1,WIZZ,0,,6,K0001;K0006;K0025;K0062;K0131;K0308,,,dictionary,floor 13 (medium) | cluster has 4 visual labels | single-level (vocab constrained)
28.0,0x62ee0118,1659765016,13,sprite,1,BRG1,0,,6,K0022;K0066;K0069;K0327;K0333;K0335,,,dictionary,floor 13 (medium) | cluster has 2 visual labels | single-level (vocab constrained)
24.0,0x1847c001,407355393,8,type700,0,,0,,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | only 0 levels (vocab somewhat constrained)
24.0,0x00000000,0,9,type500,0,,0,,1,K0084,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | only 0 levels (vocab somewhat constrained)
24.0,0x24002913,603990291,9,sprite,2,FOOD;SNOW,1,C0050,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | only 2 levels (vocab somewhat constrained)
24.0,0x68009240,1744867904,10,audio,3,BOIL;CLOU;MOSS,1,C0044,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | only 3 levels (vocab somewhat constrained)
24.0,0x70404350,1883259728,10,audio,3,BRG1;PHRO;TMPL,0,,1,K0139,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | only 3 levels (vocab somewhat constrained)
24.0,0x9980d651,2575357521,10,audio,2,BOIL;EVIL,0,,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | only 2 levels (vocab somewhat constrained)
22.0,0x29808408,696288264,8,audio,22,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,0,,0,,,,exhaustive-floor,floor 8 (exhaustive borderline) | common asset (likely generic name)
22.0,0x0aabc010,179027984,9,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0210,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | common asset (likely generic name)
22.0,0x48204012,1210073106,9,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,3,C0182;C0183;C0224,0,,,,exhaustive-floor+2,floor 9 (exhaustive borderline) | common asset (likely generic name)
22.0,0x282b8491,673940625,10,sprite,21,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,2,C0190;C0191,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | common asset (likely generic name)
22.0,0x4c60f249,1281421897,10,audio,26,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FINN;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MENU;MOSS;PHRO;RUNN;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,1,C0294,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | common asset (likely generic name)
22.0,0x98004092,2550153362,10,sprite,23,BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLEN;GLID;HEAD;KLOG;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,9,C0042;C0100;C0110;C0119;C0128;C0129;C0138;C0142;C0158,0,,,,exhaustive-floor+2,floor 10 (exhaustive borderline) | common asset (likely generic name)
22.0,0x326e0410,846070800,13,sprite,2,FOOD;TMPL,0,,9,K0002;K0007;K0059;K0063;K0123;K0306;K0313;K0316;K0321,,,dictionary,floor 13 (medium) | cluster has 2 visual labels | only 2 levels (vocab somewhat constrained)
22.0,0x612c8430,1630307376,13,sprite,2,FOOD;SNOW,0,,6,K0026;K0034;K0066;K0171;K0327;K0336,,,dictionary,floor 13 (medium) | cluster has 1 visual labels | only 2 levels (vocab somewhat constrained)
22.0,0x46269090,1176932496,15,sprite,1,WIZZ,0,,7,K0001;K0008;K0013;K0078;K0129;K0307;K0322,,,dictionary,cluster has 5 visual labels | single-level (vocab constrained)
22.0,0x523ea110,1379836176,15,sprite,1,EGGS,0,,8,K0001;K0006;K0060;K0068;K0072;K0080;K0317;K0323,,,dictionary,cluster has 6 visual labels | single-level (vocab constrained)
22.0,0x5e269090,1579585680,15,sprite,1,MENU,0,,6,K0002;K0012;K0059;K0065;K0129;K0309,,,dictionary,cluster has 1 visual labels | single-level (vocab constrained)
22.0,0x92af8810,2460977168,15,sprite,1,BRG1,0,,8,K0002;K0012;K0014;K0065;K0311;K0315;K0320;K0324,,,dictionary,cluster has 2 visual labels | single-level (vocab constrained)
20.0,0x0005c699,378521,11,sprite,1,MENU,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x0220a173,35692915,11,audio,1,FOOD,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x0244655d,38036829,11,sprite,1,WIZZ,2,C0086;C0090,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x03ecb851,65845329,11,audio,1,BOIL,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x04041001,67375105,11,audio,1,WIZZ,0,,2,K0027;K0158,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x040a2110,67772688,11,sprite,1,FINN,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x04835000,75714560,11,sprite,1,RUNN,1,C0244,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x080c8300,135037696,11,sprite,1,EVIL,0,,5,K0009;K0017;K0146;K0220;K0236,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x08192250,135864912,11,sprite,1,MEGA,1,C0115,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x085c8300,140280576,11,sprite,1,FINN,0,,5,K0017;K0039;K0221;K0240;K0248,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x0aa18900,178358528,11,sprite,1,KLOG,1,C0254,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x0e041001,235147265,11,audio,1,WIZZ,0,,3,K0027;K0093;K0158,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x10904443,277890115,11,audio,1,CRYS,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x18e8c704,417908484,11,sprite,1,GLEN,1,C0101,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x2d688254,761823828,11,sprite,1,GLEN,1,C0105,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x30808e0d,813731341,11,sprite,1,MENU,1,C0281,2,K0030;K0162,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x344210b1,876744881,11,sprite,1,FINN,1,C0232,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x408a2c10,1082797072,11,sprite,1,FOOD,0,,7,K0003;K0151;K0163;K0278;K0282;K0286;K0290,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x40c21c10,1086462992,11,sprite,1,BRG1,0,,10,K0003;K0044;K0084;K0117;K0165;K0245;K0257;K0286;K0293;K0303,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x40da2c10,1088039952,11,sprite,1,EGGS,0,,5,K0003;K0163;K0289;K0298;K0303,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x40ea2c10,1089088528,11,sprite,1,WEED,0,,5,K0003;K0166;K0281;K0293;K0297,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x4824c0c5,1210368197,11,audio,1,MEGA,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x48d81135,1222119733,11,sprite,1,GLEN,1,C0098,2,K0210;K0214,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x5822c080,1478672512,11,sprite,1,TMPL,1,C0043,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x5862f614,1482880532,11,audio,1,KLOG,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x606c8061,1617723489,11,audio,1,KLOG,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x682080cd,1746960589,11,audio,1,HEAD,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x69588258,1767408216,11,sprite,1,GLEN,1,C0107,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x74044081,1946435713,11,audio,1,RUNN,1,C0062,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x90805c51,2424331345,11,audio,1,EGGS,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0xa06088c9,2690681033,11,audio,1,HEAD,0,,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0xb0807444,2961208388,11,audio,1,TMPL,0,,6,K0005;K0052;K0155;K0234;K0260;K0329,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0xb0d07444,2966451268,11,audio,1,TMPL,0,,4,K0005;K0052;K0157;K0328,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0xc0099011,3221852177,11,audio,1,WIZZ,2,C0091;C0092,0,,,,exhaustive-floor+2,floor 11 (medium) | single-level (vocab constrained)
20.0,0x0628a800,103327744,12,sprite,1,EGGS,2,C0217;C0228,1,K0202,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x08ba0250,146408016,12,sprite,1,GLEN,0,,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x0a1820d4,169353428,12,sprite,1,MEGA,1,C0117,2,K0213;K0271,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x10057441,268792897,12,sprite,1,WIZZ,1,C0087,1,K0192,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x10b85810,280516624,12,sprite,1,FINN,0,,7,K0000;K0018;K0040;K0115;K0224;K0241;K0250,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x10b94810,280578064,12,sprite,1,FINN,0,,9,K0000;K0018;K0042;K0224;K0253;K0276;K0279;K0283;K0287,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x10b95010,280580112,12,sprite,1,FINN,0,,9,K0000;K0011;K0041;K0227;K0242;K0250;K0280;K0291;K0295,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x10b97810,280590352,12,sprite,1,FINN,0,,4,K0000;K0011;K0040;K0058,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x10b9d810,280614928,12,sprite,1,FINN,0,,6,K0000;K0011;K0042;K0227;K0243;K0254,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x204e44c0,542000320,12,audio,1,EVIL,1,C0160,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x2e811804,780212228,12,sprite,1,KLOG,1,C0251,2,K0029;K0161,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x2e839804,780376068,12,sprite,1,KLOG,1,C0251,2,K0029;K0161,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x40784034,1081622580,12,audio,1,RUNN,1,C0242,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x40e0824c,1088455244,12,audio,1,FINN,1,C0230,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x40f8c274,1090044532,12,audio,1,RUNN,1,C0236,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x4c02d240,1275253312,12,audio,1,KLOG,0,,3,K0021;K0035;K0172,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x4c62d240,1281544768,12,audio,1,KLOG,0,,2,K0021;K0035,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x4ca2d240,1285739072,12,audio,1,KLOG,0,,3,K0021;K0035;K0172,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x60de1050,1625165904,12,sprite,1,WIZZ,1,C0094,1,K0194,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x66017821,1711372321,12,audio,1,WIZZ,1,C0097,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x746048f1,1952467185,12,audio,1,RUNN,1,C0063,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x804c881c,2152499228,12,sprite,1,BRG1,1,C0048,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
20.0,0x80808846,2155907142,12,audio,1,SEVN,0,,0,,,,dictionary,floor 12 (medium) | single-level (vocab constrained)
